Nachname,Vorname,Anrede,Geschlecht,ID
Abdi,Sanae,Sanae Abdi,F,861028
Akbulut,Gökay,Gökay Akbulut,F,857082
Abel,Valentin,Valentin Abel,M,860100
Al-Dailami,Ali,Ali Al-Dailami,M,860114
Abraham,Knut,Knut Abraham,M,860546
Al-Halak,Muhanad,Muhanad Al-Halak,M,860118
Adler,Katja,Katja Adler,F,860102
Alabali-Radovan,Reem,Reem Alabali-Radovan,F,860830
Aeffner,Stephanie,Stephanie Aeffner,F,860154
Albani,Stephan,Stephan Albani,M,857088
Ahmetovic,Adis,Adis Ahmetovic,M,861876
Alt,Renata,Renata Alt,F,857098
Altenkamp,Norbert Maria,Norbert Maria Altenkamp,M,857102
Amthor,Philipp,Philipp Amthor,M,857086
Amtsberg,Luise,Luise Amtsberg,F,857104
Andres,Dagmar,Dagmar Andres,F,860980
Annen,Niels,Niels Annen,M,857106
Arlt,Johannes,Johannes Arlt,M,860828
Aschenberg-Dugnus,Christine,Christine Aschenberg-Dugnus,F,857094
Audretsch,Andreas,Andreas Audretsch,M,860496
Auernhammer,Artur,Artur Auernhammer,M,857084
Aumer,Peter,Peter Aumer,M,857090
Außendorf,Maik,Maik Außendorf,M,860932
Bacherle,Tobias,Tobias Bacherle,M,860138
Bachmann,Carolin,Carolin Bachmann,F,863318
Badum,Lisa,Lisa Badum,F,857148
Baehrens,Heike,Heike Baehrens,F,857144
Bär,Dorothee,Dorothee Bär,F,857110
Bär,Karl,Karl Bär,M,860334
Baerbock,Annalena,Annalena Baerbock,F,857150
Bahr,Ulrike,Ulrike Bahr,F,857152
Baldy,Daniel,Daniel Baldy,M,861186
Banaszak,Felix,Felix Banaszak,M,860904
Baradari,Nezahat,Nezahat Baradari,F,857122
Bareiß,Thomas,Thomas Bareiß,M,857138
Bartol,Sören,Sören Bartol,M,857132
Bartsch,Dr. Dietmar,Dr. Dietmar Bartsch,M,857154
Bas,Bärbel,Bärbel Bas,F,857120
