"Sehr geehrte Frau Sanae Abdi,",861028
"Sehr geehrte Frau Gökay Akbulut,",857082
"Sehr geehrter Herr Valentin Abel,",860100
"Sehr geehrter Herr Ali Al-Dailami,",860114
"Sehr geehrter Herr Knut Abraham,",860546
"Sehr geehrter Herr Muhanad Al-Halak,",860118
"Sehr geehrte Frau Katja Adler,",860102
"Sehr geehrte Frau Reem Alabali-Radovan,",860830
"Sehr geehrte Frau Stephanie Aeffner,",860154
"Sehr geehrter Herr Stephan Albani,",857088
"Sehr geehrter Herr Adis Ahmetovic,",861876
"Sehr geehrte Frau Renata Alt,",857098
"Sehr geehrter Herr Norbert Maria Altenkamp,",857102
"Sehr geehrter Herr Philipp Amthor,",857086
"Sehr geehrte Frau Luise Amtsberg,",857104
"Sehr geehrte Frau Dagmar Andres,",860980
"Sehr geehrter Herr Niels Annen,",857106
"Sehr geehrter Herr Johannes Arlt,",860828
"Sehr geehrte Frau Christine Aschenberg-Dugnus,",857094
"Sehr geehrter Herr Andreas Audretsch,",860496
"Sehr geehrter Herr Artur Auernhammer,",857084
"Sehr geehrter Herr Peter Aumer,",857090
"Sehr geehrter Herr Maik Außendorf,",860932
"Sehr geehrter Herr Tobias Bacherle,",860138
"Sehr geehrte Frau Carolin Bachmann,",863318
"Sehr geehrte Frau Lisa Badum,",857148
"Sehr geehrte Frau Heike Baehrens,",857144
"Sehr geehrte Frau Dorothee Bär,",857110
"Sehr geehrter Herr Karl Bär,",860334
"Sehr geehrte Frau Annalena Baerbock,",857150
"Sehr geehrte Frau Ulrike Bahr,",857152
"Sehr geehrter Herr Daniel Baldy,",861186
"Sehr geehrter Herr Felix Banaszak,",860904
"Sehr geehrte Frau Nezahat Baradari,",857122
"Sehr geehrter Herr Thomas Bareiß,",857138
"Sehr geehrter Herr Sören Bartol,",857132
"Sehr geehrter Herr Dr. Dietmar Bartsch,",857154
"Sehr geehrte Frau Bärbel Bas,",857120
"Sehr geehrte Frau Nicole Bauer,",857140
"Sehr geehrte Frau Dr. Christina Baum,",860218
"Sehr geehrter Herr Dr. Bernd Baumann,",857160
"Sehr geehrte Frau Canan Bayram,",857156
"Sehr geehrte Frau Katharina Beck,",860700
"Sehr geehrter Herr Roger Beckamp,",860236
"Sehr geehrter Herr Dr. Holger Becker,",861440
"Sehr geehrter Herr Jens Beeck,",857142
"Sehr geehrter Herr Lukas Benner,",861470
"Sehr geehrter Herr Jürgen Berghahn,",861088
"Sehr geehrter Herr Dr. André Berghegger,",857124
"Sehr geehrter Herr Bengt Bergt,",861374
"Sehr geehrter Herr Marc Bernhard,",857114
"Sehr geehrter Herr Peter Beyer,",857108
"Sehr geehrter Herr Marc Biadacz,",857126
"Sehr geehrter Herr Steffen Bilger,",857146
"Sehr geehrter Herr Matthias W. Birkwald,",857206
"Sehr geehrter Herr Jakob Blankenburg,",860872
"Sehr geehrter Herr Andreas Bleck,",857164
"Sehr geehrter Herr René Bochmann,",860294
"Sehr geehrter Herr Ingo Bodtke,",860300
