Name,ID,Email-ID
Sanae Abdi,861028,464325
Gökay Akbulut,857082,464326
Valentin Abel,860100,464294
Ali Al-Dailami,860114,464296
Knut Abraham,860546,464297
Muhanad Al-Halak,860118,464406
Katja Adler,860102,464327
Reem Alabali-Radovan,860830,464408
Stephanie Aeffner,860154,464331
Stephan Albani,857088,464311
Adis Ahmetovic,861876,464319
Renata Alt,857098,464409
Norbert Maria Altenkamp,857102,464410
Philipp Amthor,857086,464433
Luise Amtsberg,857104,464434
Dagmar Andres,860980,464435
Niels Annen,857106,464438
Johannes Arlt,860828,464457
Christine Aschenberg-Dugnus,857094,464459
Andreas Audretsch,860496,464461
Artur Auernhammer,857084,464462
Peter Aumer,857090,
Maik Außendorf,860932,
Tobias Bacherle,860138,
Carolin Bachmann,863318,
Lisa Badum,857148,
Heike Baehrens,857144,
Dorothee Bär,857110,
Karl Bär,860334,
Annalena Baerbock,857150,
Ulrike Bahr,857152,
Daniel Baldy,861186,
Felix Banaszak,860904,
Nezahat Baradari,857122,
Thomas Bareiß,857138,
Sören Bartol,857132,
Dr. Dietmar Bartsch,857154,
Bärbel Bas,857120,
Nicole Bauer,857140,
Dr. Christina Baum,860218,
Dr. Bernd Baumann,857160,
Canan Bayram,857156,
Katharina Beck,860700,
Roger Beckamp,860236,
Dr. Holger Becker,861440,
Jens Beeck,857142,
Lukas Benner,861470,
Jürgen Berghahn,861088,
Dr. André Berghegger,857124,
Bengt Bergt,861374,
Marc Bernhard,857114,
Peter Beyer,857108,
Marc Biadacz,857126,
Steffen Bilger,857146,
Matthias W. Birkwald,857206,
Jakob Blankenburg,860872,
Andreas Bleck,857164,
René Bochmann,860294,
Ingo Bodtke,860300,
Peter Boehringer,857196,
Friedhelm Boginski,860302,
Gereon Bollmann,860310,
Simone Borchardt,860762,
Michael Brand,857184,
Dr. Jens Brandenburg,857216,
Mario Brandenburg,857166,
Dirk Brandes,860314,
Dr. Reinhard Brandl,857194,
Stephan Brandner,857202,
Dr. Franziska Brantner,857200,
Prof. Dr. Helge Braun,857178,
Jürgen Braun,857190,
Silvia Breher,857172,
Sebastian Brehm,857198,
Heike Brehmer,857180,
Michael Breilmann,860954,
Leni Breymaier,857186,
Ralph Brinkhaus,857212,
Dr. Carsten Brodesser,857218,
Dr. Marlon Bröhr,861144,
Agnieszka Brugger,857182,
Frank Bsirske,860818,
Sandra Bubendorfer-Licht,857188,
Katrin Budde,857170,
Marcus Bühl,857208,
Clara Bünger,874466,
Yannick Bury,861566,
Dr. Marco Buschmann,857192,
Karlheinz Busen,857210,
Petr Bystron,857176,
Isabel Cademartori,860204,
Prof. Dr. Lars Castellucci,857236,
Dr. Anna Christmann,857222,
Tino Chrupalla,857230,
Gitta Connemann,857226,
Jürgen Coße,860994,
Joana Cotar,857234,
Carl-Julius Cronenberg,857232,
Dr. Gottfried Curio,857228,
Mario Czaja,861524,
Dr. Janosch Dahmen,857272,
Bernhard Daldrup,857248,
Astrid Damerow,857268,
Sevim Dağdelen,857246,
Ekin Deligöz,857242,
Hakan Demir,861502,
Dr. Sandra Detzer,860130,
Dr. Karamba Diaby,857252,
Martin Diedenhofen,861190,
Jan Dieren,861096,
Thomas Dietz,860430,
Esther Dilcher,857244,
Sabine Dittmar,857240,
Bijan Djir-Sarai,857262,
Alexander Dobrindt,857264,
Felix Döring,860648,
Anke Domscheit-Berg,857258,
Michael Donth,857254,
Katharina Dröge,857250,
Falko Droßmann,861608,
Deborah Düring,860736,
Christian Dürr,857270,
Hansjörg Durz,857260,
Harald Ebner,857284,
Axel Echeverria,860998,
Leon Eckert,860382,
Ralph Edelhäußer,861822,
Thomas Ehrhorn,857276,
Sonja Eichwede,860474,
Marcel Emmerich,863346,
Alexander Engelhard,861748,
Heike Engelhardt,860228,
Martina Englhardt-Kopf,860320,
Thomas Erndl,857286,
Klaus Ernst,857282,
Dr. Wiebke Esdar,857288,
Saskia Esken,857280,
Dr. Michael Espendiller,857290,
Dr. Marcus Faber,857296,
Hermann Färber,857322,
Ariane Fäscher,860484,
Yasmin Fahimi,857316,
Robert Farle,863326,
Dr. Johannes Fechner,857324,
Uwe Feiler,857298,
Peter Felser,857292,
Enak Ferlemann,857318,
Susanne Ferschl,857312,
Emilia Fester,860704,
Sebastian Fiedler,861716,
Daniel Föst,857310,
Dr. Edgar Franke,857306,
Thorsten Frei,857308,
Otto Fricke,857314,
Dietmar Friedhoff,857302,
Dr. Hans-Peter Friedrich,857300,
Michael Frieser,857294,
Dr. Götz Frömming,857320,
Markus Frohnmaier,857304,
Fabian Funke,861290,
Maximilian Funke-Kaiser,860504,
Ingo Gädechens,857372,
Schahina Gambir,860934,
Tessa Ganserer,860336,
Martin Gassner-Herz,860520,
Matthias Gastel,857368,
Dr. Alexander Gauland,857328,
Manuel Gava,860882,
Dr. Thomas Gebhart,863124,
Kai Gehring,857348,
Dr. Jonas Geissler,861556,
Stefan Gelbhaar,857334,
Michael Gerdes,857362,
Knut Gerschau,860534,
Martin Gerster,857338,
Dr. Jan-Niclas Gesenhues,860906,
Albrecht Glaser,857350,
Angelika Glöckner,857370,
Hannes Gnauck,860536,
Katrin Göring-Eckardt,857330,
Christian Görke,860512,
Nicole Gohlke,857380,
Kay Gottschalk,857332,
Dr. Ingeborg Gräßle,860112,
Fabian Gramling,861744,
Prof. Dr. Armin Grau,861218,
Timon Gremmels,857384,
Kerstin Griese,857340,
Hermann Gröhe,857336,
Uli Grötsch,857364,
Michael Grosse-Brömer,857344,
Markus Grübel,857360,
Prof. Monika Grütters,857378,
Sabine Grützmacher,861782,
Manfred Grund,857366,
Erhard Grundl,857346,
Oliver Grundmann,857356,
Serap Güler,860942,
Fritz Güntzler,857354,
Ates Gürpinar,860516,
Olav Gutting,857342,
Dr. Gregor Gysi,863130,
Christian Haase,857456,
Dr. Robert Habeck,861322,
Thomas Hacker,857486,
Bettina Hagedorn,857422,
Rita Hagl-Kehl,857446,
Dr. André Hahn,857462,
Florian Hahn,857470,
Metin Hakverdi,857438,
Reginald Hanke,857466,
Mariana Iris Harder-Kühnel,857390,
Jürgen Hardt,857408,
Philipp Hartewig,860586,
Sebastian Hartmann,857488,
Ulrike Harzer,860588,
Britta Haßelmann,857416,
Matthias Hauer,857432,
Jochen Haug,857388,
Dr. Stefan Heck,860650,
Dirk Heidenblut,857440,
Peter Heidt,857476,
Hubertus Heil,857452,
Mechthild Heil,857412,
Frauke Heiligenstadt,860864,
Thomas Heilmann,857430,
Gabriela Heinrich,857410,
Linda Heitmann,860706,
Matthias Helferich,860592,
Mark Helfrich,857398,
Katrin Helling-Plahr,857420,
Wolfgang Hellmich,857434,
Kathrin Henneberger,860936,
Anke Hennig,860878,
Susanne Hennig-Wellsow,860596,
Michael Hennrich,857406,
Marc Henrichmann,857478,
Markus Herbrand,857442,
Torsten Herbst,857454,
Bernhard Herrmann,861258,
Nadine Heselhaus,860970,
Martin Hess,857490,
Katja Hessel,857474,
Ansgar Heveling,857460,
Susanne Hierl,860324,
Karsten Hilse,857458,
Christian Hirte,857492,
Thomas Hitschler,857396,
Dr. Gero Clemens Hocker,857472,
Nicole Höchst,857424,
Manuel Höferlin,857484,
Bruno Hönel,861328,
Alexander Hoffmann,857494,
Dr. Bettina Hoffmann,857468,
Dr. Christoph Hoffmann,857402,
Dr. Anton Hofreiter,857482,
Leif-Erik Holm,857480,
Dr. Hendrik Hoppenstedt,857418,
Franziska Hoppermann,860600,
Jasmina Hostert,860128,
Reinhard Houben,857414,
Johannes Huber,857428,
Verena Hubertz,861188,
Markus Hümpfer,860292,
Hubert Hüppe,860964,
